EstablishmentName,URN,Latitude,Longitude,Overall effectiveness,Inspection start date,Ofsted Rating
Mount Carmel Catholic College for Girls,100460,51.5679753,-0.1295276,nan,,
Holland Park School,100501,51.5048399,-0.2007014,nan,,
Saint Thomas More Language College,100502,51.4927635,-0.1614452,nan,,
All Saints Catholic College,100503,51.5206694,-0.2140512,1,02/11/2022,Outstanding
The Cardinal Vaughan Memorial RC School,100506,51.5038283,-0.2117899,nan,,
The Norwood School,100624,51.4234129,-0.0989967,2,22/02/2023,Good
Lilian Baylis Technology School,100625,51.4861852,-0.1197437,1,22/02/2023,Outstanding
Stockwell Park School,100626,51.4731794,-0.1191345,nan,,
Saint Gabriel's College,100627,51.4759979,-0.1023261,2,28/11/2018,Good
La Retraite Roman Catholic Girls' School,100637,51.4475272,-0.1434106,1,13/12/2023,Outstanding
Bishop Thomas Grant Catholic Secondary School,100638,51.4250841,-0.11928,1,14/10/2014,Outstanding
Dunraven School,100639,51.4336,-0.12159,nan,,
Archbishop Tenison's School,100640,51.4825057,-0.1157326,nan,,
St Martin in the Fields High School for Girls,100641,51.4442993,-0.1082735,nan,,
London Nautical School,100642,51.5064947,-0.1082032,3,22/06/2023,Requires Improvement
Deptford Green School,100740,51.47825,-0.03576,2,26/04/2022,Good
Sydenham School,100741,51.434202,-0.0595589,2,18/04/2013,Good
Conisborough College,100742,51.4339993,-0.0096448,nan,,
Sedgehill School,100743,51.4232654,-0.0219418,nan,,
Forest Hill School,100745,51.4325949,-0.0485251,2,13/12/2023,Good
Addey and Stanhope School,100748,51.4748962,-0.0270473,2,26/04/2018,Good
Prendergast School,100750,51.4587835,-0.0267848,nan,,
Aylwin Girls' School,100842,51.4931989,-0.0718427,nan,,
Walworth School,100843,51.4876736,-0.0781109,nan,,
Kingsdale Foundation School,100844,51.4323633,-0.0845399,nan,,
Dulwich High School for Boys,100845,51.4564237,-0.0888641,nan,,
Waverley School,100846,51.4570298,-0.054996,nan,,
Geoffrey Chaucer Technology College,100847,51.4954558,-0.0911751,nan,,
Warwick Park School,100848,51.472721,-0.0736921,nan,,
St Saviour's and St Olave's Church of England School,100849,51.4947738,-0.0873566,2,16/11/2022,Good
Archbishop Michael Ramsey Technology College,100850,51.4783443,-0.1017025,nan,,
The St Thomas the Apostle College,100857,51.4712414,-0.0560877,1,20/11/2018,Outstanding
St Michael's Catholic College,100858,51.4998905,-0.0675919,nan,,
Notre Dame Roman Catholic Girls' School,100859,51.49698,-0.10614,nan,,
Sacred Heart Roman Catholic Secondary School,100860,51.475187,-0.097483,nan,,
Bow School,100965,51.5228627,-0.0094971,2,14/03/2018,Good
Langdon Park Community School,100966,51.5147165,-0.0120911,2,19/04/2023,Good
Morpeth School,100967,51.5268119,-0.048519,2,08/03/2023,Good
Mulberry School for Girls,100968,51.5138302,-0.0598555,nan,,
Stepney Green Mathematics and Computing College,100969,51.5185319,-0.0421638,nan,,
Bethnal Green Technology College,100971,51.5270697,-0.0699575,nan,,
Oaklands School,100972,51.5300847,-0.0581078,2,19/06/2013,Good
Swanlea School,100973,51.5208901,-0.0602108,1,24/04/2024,Outstanding
George Green's School,100974,51.4878026,-0.0082521,2,14/03/2013,Good
Central Foundation Girls' School,100975,51.527472,-0.0282033,2,18/10/2016,Good
Stepney All Saints Church of England Secondary School,100977,51.5161686,-0.0441539,1,07/10/2015,Outstanding
Bishop Challoner Catholic School,100978,51.5134165,-0.0495893,nan,,
Raine's Foundation School,100979,51.5313369,-0.0511202,nan,,
Ernest Bevin College,101053,51.439099,-0.1698475,nan,,
Chestnut Grove School,101054,51.4443666,-0.1550127,nan,,
Battersea Park School,101055,51.4732594,-0.1591265,nan,,
Burntwood School,101059,51.4373787,-0.1791419,nan,,
Southfields Community College,101063,51.4453217,-0.197241,nan,,
Pimlico School,101148,51.4878954,-0.1374036,nan,,
Quintin Kynaston School,101149,51.538352,-0.1765544,nan,,
North Westminster Community School,101150,51.5216674,-0.169056,nan,,
The Grey Coat Hospital,101151,51.4958987,-0.1340776,nan,,
The St Marylebone CofE School,101152,51.5221193,-0.152065,nan,,
Westminster City School,101153,51.4977608,-0.1387624,nan,,
St Augustine's Federated Schools: CE High School,101154,51.5341142,-0.1922137,2,07/03/2023,Good
St George's Catholic School,101155,51.5328603,-0.1874863,nan,,
The Ravenscroft School A Technology College,101346,51.638627,-0.2003176,nan,,
Whitefield School,101347,51.57341,-0.21916,nan,,
Copthall School,101349,51.6093189,-0.2311211,nan,,
Christ's College Finchley,101350,51.5919911,-0.1875193,nan,,
The Compton School,101352,51.6092498,-0.1632726,nan,,
Christ Church CofE Secondary School,101353,51.6128914,-0.1668585,nan,,
The Henrietta Barnett School,101354,51.5812559,-0.1886632,nan,,
Hendon School,101357,51.5857,-0.21784,nan,,
Mill Hill County High School,101359,51.6296031,-0.2485658,nan,,
St Mary's CofE High School,101360,51.59221,-0.22312,nan,,
Finchley Catholic High School,101362,51.6221777,-0.181956,2,06/11/2013,Good
Ashmole School,101363,51.6291865,-0.1328883,nan,,
St James' Catholic High School,101364,51.6007383,-0.2407222,2,07/03/2017,Good
Bishop Douglass School Finchley,101365,51.5943836,-0.1791992,nan,,
Hasmonean High School,101366,51.5964699,-0.21443,nan,,
Willesden High School,101551,51.53996,-0.23293,nan,,
Kingsbury High School,101559,51.5894813,-0.275326,nan,,
Queens Park Community School,101560,51.540337,-0.2190511,nan,,
Convent of Jesus and Mary Language College,101561,51.5377704,-0.2455301,nan,,
Newman Catholic College,101564,51.5379461,-0.2383165,2,21/09/2011,Good
John Kelly Boys' Technology College,101565,51.5630499,-0.24202,nan,,
John Kelly Girls' Technology College,101566,51.5630499,-0.24202,nan,,
St Joseph's College,101820,51.4211027,-0.1074021,nan,,
Twyford Church of England High School,101933,51.5091899,-0.28138,nan,,
The Gladys Aylward School,102046,51.6181627,-0.0820701,nan,,
Turin Grove School,102051,51.63286,-0.04592,nan,,
St Anne's Catholic High School for Girls,102053,51.6161469,-0.1077534,1,14/12/2016,Outstanding
The Latymer School,102055,51.6256819,-0.0755938,2,24/03/2022,Good
Laurel Park School,102056,51.6146707,-0.1230761,Not judged,26/11/2024,Not judged
Hornsey School for Girls,102153,51.5818853,-0.1142248,2,13/02/2013,Good
Highgate Wood Secondary School,102154,51.5823033,-0.1331866,2,24/11/2011,Good
Northumberland Park Community School,102155,51.6043232,-0.063504,nan,,
Gladesmore Community School,102157,51.5802701,-0.0656648,Not judged,22/10/2024,Not judged
"Woodside High School, A Business & Enterprise Specialist School",102158,51.603268,-0.1008407,nan,,
St David and St Katharine CofE Secondary School,102160,51.5868093,-0.1172654,nan,,
St Thomas More Catholic School,102161,51.6040353,-0.1076475,nan,,
The John Loughborough School,102167,51.58914,-0.05526,nan,,
Forest Gate Community School,102775,51.5498909,0.023943,nan,,
Little Ilford School,102776,51.54711,0.059234,2,23/11/2022,Good
Rokeby School,102777,51.5185557,0.0159385,nan,,
Lister Community School,102778,51.5317836,0.0264856,nan,,
Woodside Community School,102779,51.52185,0.03279,nan,,
Brampton Manor School,102781,51.5214557,0.044415,nan,,
Plashet School,102782,51.5399997,0.0493619,2,09/11/2022,Good
The Cumberland School,102783,51.5214952,0.0355578,nan,,
Eastlea Community School,102784,51.5221203,0.0057632,nan,,
Sarah Bonnell School,102785,51.5432897,0.0078165,nan,,
St Angela's Ursuline School,102786,51.5421995,0.029157,1,08/11/2022,Outstanding
St Bonaventure's RC School,102787,51.5387501,0.0250716,1,29/11/2022,Outstanding
Stratford School,102788,51.5416253,0.0257063,nan,,
Wanstead High School,102851,51.5751734,0.0363758,2,21/10/2015,Good
Tom Hood Community Science College,103093,51.5586384,0.0138251,nan,,
Frederick Bremer School,103094,51.5943216,-0.0035988,2,08/12/2015,Good
